"","Mod","Domain","Dimen","Sample","C_Smoothness","C_Range","Neighbors","Seed_off","MSE_Laplace","MSE_VL","MSE_VL_z","MSE_LowRank","LS_Laplace","LS_VL","LS_VL_z","LS_LowRank","Time_Laplace","Time_VL","Time_VL_z","Time_LowRank","Iter_Laplace","Iter_VL","Iter_VL_z","Iter_LowRank"
"196",2,10,2,4096,0.5,0.3,10,506231,0.6051421,0.636823,0.6217893,0.7977361,-4154.249,-4388.696,-4201.011,-5349.732,16.82293,0.3945208,0.5016277,0.3595159,5,5,5,4
"197",3,10,2,4096,0.5,0.3,10,370300,0.3303496,0.3422464,0.3349801,0.4287596,-3132.336,-3268.504,-3151.181,-3954.144,23.27563,0.7975373,0.9460826,0.7670534,9,9,9,10
"198",4,10,2,4096,0.5,0.3,10,728706,0.2824876,0.2936512,0.2862027,0.3903066,-2985.899,-3106.399,-3007.056,-3805.231,23.30697,0.741564,0.9186459,0.7053771,9,9,9,9
"199",2,10,2,8100,0.5,0.3,10,561476,0.5228806,0.5593128,0.5640457,0.8441551,-7098.167,-7684.603,-7318.224,-10883.04,61.61494,0.8295836,1.185733,0.8057592,5,5,6,5
"200",3,10,2,8100,0.5,0.3,10,612103,0.294602,0.3100913,0.3042672,0.4659542,-5469.908,-5832.12,-5546.18,-8112.143,96.9952,1.73651,2.088712,1.784848,10,10,11,12
"201",4,10,2,8100,0.5,0.3,10,594628,0.2304573,0.2448533,0.234483,0.3689819,-5033.138,-5354.959,-5078.076,-7328.275,82.73256,1.336616,1.655862,1.271384,8,9,8,8
"202",2,10,2,16900,0.5,0.3,10,149228,0.4225264,0.4566535,0.4693726,0.7888851,-12034.47,-13573.26,-12609.9,-22117.56,302.1106,2.010417,2.530518,1.877695,5,6,6,5
"203",3,10,2,16900,0.5,0.3,10,816464,0.234306,0.2494969,0.2451637,0.4393577,-9189.382,-10102.86,-9401.227,-16673.35,601.1731,4.03448,5.519675,3.947728,13,13,13,13
"204",4,10,2,16900,0.5,0.3,10,394513,0.1963129,0.2088338,0.2004701,0.4056975,-8661.953,-9454.064,-8799.792,-16267.85,451.2515,2.869735,3.989164,2.84606,9,9,9,9
"205",2,10,2,256,0.5,0.3,10,137376,0.8632387,0.8599556,0.8631488,0.8627314,-343.1605,-342.7377,-343.1769,-344.2499,0.09302211,0.05114055,0.04944158,0.03291655,4,4,4,4
"206",3,10,2,256,0.5,0.3,10,623969,0.5771606,0.5785436,0.5770127,0.5817286,-279.5074,-280.5398,-279.5185,-280.951,0.1854396,0.1276014,0.1354218,0.09266162,11,11,11,11
"207",4,10,2,256,0.5,0.3,10,489504,0.3847113,0.388691,0.3846575,0.3889474,-237.2495,-238.9449,-237.2585,-239.0314,0.1249721,0.07411027,0.08530116,0.05376554,7,7,7,7
"208",2,10,2,625,0.5,0.3,10,816493,0.8016173,0.8049476,0.8031641,0.8218085,-806.347,-807.9633,-806.6727,-825.4376,0.3666632,0.08253193,0.08752418,0.05820823,4,4,4,4
"209",3,10,2,625,0.5,0.3,10,852095,0.4453562,0.4500524,0.4461977,0.4581536,-613.0966,-618.3781,-613.4968,-637.1929,0.5340552,0.1296225,0.1632974,0.1166017,8,8,8,8
"210",4,10,2,625,0.5,0.3,10,982587,0.3500898,0.3540335,0.350853,0.3659549,-538.2889,-546.6897,-538.8833,-557.7068,0.5258412,0.1258378,0.1607935,0.1194985,8,8,8,8
"211",2,10,2,1089,0.5,0.3,10,806628,0.6868636,0.6847314,0.6894652,0.7506587,-1275.729,-1293.598,-1277.58,-1391.888,0.998709,0.1156163,0.1634908,0.09454679,4,5,5,4
"212",3,10,2,1089,0.5,0.3,10,162590,0.4326717,0.4381197,0.4336935,0.4575176,-1012.69,-1031.093,-1013.038,-1082.008,2.13745,0.2838211,0.3195288,0.2301576,11,11,11,11
"213",4,10,2,1089,0.5,0.3,10,760935,0.3552691,0.3597087,0.3554208,0.3893262,-927.6396,-940.7922,-927.525,-1009.565,1.803383,0.231214,0.272445,0.1857581,9,9,9,9
"214",2,10,2,2025,0.5,0.3,10,919170,0.6768728,0.7035072,0.6884012,0.8260232,-2238.707,-2328.024,-2253.312,-2673.058,3.869636,0.2150514,0.2610297,0.1452818,5,5,5,4
"215",3,10,2,2025,0.5,0.3,10,485197,0.3956004,0.4042448,0.3983589,0.4657412,-1757.694,-1808.694,-1763.933,-2024.237,5.515496,0.3209863,0.4447291,0.283958,8,8,8,8
"216",4,10,2,2025,0.5,0.3,10,886026,0.3232346,0.3294547,0.3246792,0.3788477,-1652.54,-1684.223,-1653.849,-1839.705,5.676047,0.3530059,0.4391766,0.2792509,8,8,8,8
"217",2,10,2,4096,0.5,0.3,10,949837,0.6336365,0.6636649,0.6514023,0.8836863,-4173.59,-4393.902,-4216.335,-5571.326,16.19888,0.4348142,0.5878677,0.4317338,5,5,6,5
"218",3,10,2,4096,0.5,0.3,10,797800,0.3594363,0.3758906,0.3655554,0.4933967,-3225.26,-3388.947,-3253.541,-4245.378,27.45837,0.8984954,1.235453,0.8680604,10,10,11,12
"219",4,10,2,4096,0.5,0.3,10,571062,0.2779109,0.2886671,0.2818262,0.3808978,-2960.373,-3078.637,-2984.077,-3779.48,24.34679,0.6659083,0.9750836,0.7390342,9,8,9,8
