Mod,Domain,Dimen,Sample,C_Smoothness,C_Range,Neighbors,Seed_off,MSE_Laplace,MSE_VL,MSE_VL_z,MSE_LowRank,LS_Laplace,LS_VL,LS_VL_z,LS_LowRank,Time_Laplace,Time_VL,Time_VL_z,Time_LowRank,Iter_Laplace,Iter_VL,Iter_VL_z,Iter_LowRank
1,1,4,2401,0.5,0.2,1,703592,0.1505385,0.1538254,0.1610987,0.1598458,-1376.791,-1159.939,-1215.758,-1214.798,5.614765,0.1711967,0.0868032,0.04186678,2,2,2,2
2,1,4,2401,0.5,0.2,1,265956,0.6223051,0.7361598,0.7910968,0.7779705,-2594.519,-2913.386,-3125.769,-3117.053,7.012329,0.1476574,0.1769183,0.09148407,5,4,4,4
3,1,4,2401,0.5,0.2,1,743534,0.4308446,0.5302125,0.5779751,0.5804956,-2215.518,-2545.587,-2729.112,-2722.48,10.9754,0.3064725,0.5198405,0.2849178,11,11,11,11
4,1,4,2401,0.5,0.2,1,480131,0.3019624,0.343262,0.3771543,0.376928,-1865.482,-2061.751,-2197.9,-2210.089,9.059399,0.2256997,0.360081,0.2242522,8,8,8,8
1,1,4,2401,1.5,0.2,1,57941,0.07725916,0.1208492,0.1629684,0.1533482,-186.7897,-823.7683,-1229.226,-1220.448,5.331695,0.2886207,0.09440851,0.05865359,2,2,2,2
2,1,4,2401,1.5,0.2,1,469390,0.3189539,0.5690629,1.14583,0.9261902,-602.3193,-2292.15,-3653.921,-3490.557,7.576899,0.1628582,0.1650438,0.1317022,5,5,4,5
3,1,4,2401,1.5,0.2,1,751764,0.1855407,0.3521513,0.521708,0.5254937,-425.9426,-1850.672,-2585.711,-2596.534,8.679141,0.2301304,0.2428305,0.1508017,7,6,6,6
4,1,4,2401,1.5,0.2,1,374071,0.1241756,0.2618117,0.4110853,0.4220569,-339.8651,-1564.365,-2263.813,-2313.387,9.4736,0.3412509,0.3170652,0.2105196,8,8,8,8
1,1,4,2401,0.5,0.2,3,712905,0.1489265,0.1480351,0.1524673,0.161038,-1351.504,-1112.5,-1139.77,-1230.124,5.175392,0.07660532,0.121685,0.05528617,2,2,2,2
2,1,4,2401,0.5,0.2,3,124265,0.6362744,0.7106177,0.7302766,0.7571258,-2645.122,-2896.393,-2910.403,-3102.949,7.319352,0.1856592,0.1685162,0.09199715,5,5,4,4
3,1,4,2401,0.5,0.2,3,957091,0.41006,0.4688816,0.5147105,0.5690039,-2125.109,-2324.623,-2424.384,-2653.716,11.15988,0.3769577,0.4698646,0.2869017,11,12,12,12
4,1,4,2401,0.5,0.2,3,152623,0.3098574,0.3514609,0.3637347,0.3907904,-1915.291,-2092.918,-2117.765,-2289.681,8.799309,0.2537637,0.3567326,0.1895535,8,8,8,8
1,1,4,2401,1.5,0.2,3,731425,0.07419937,0.1102597,0.1253806,0.1747714,-177.1712,-708.3186,-836.1722,-1331.511,5.294106,0.1521208,0.1586356,0.09639549,2,2,2,2
2,1,4,2401,1.5,0.2,3,564416,0.2671049,0.38984,0.5252535,0.5902474,-584.8898,-1845.601,-2020.174,-2808.68,7.851994,0.4154787,0.4095078,0.2346671,5,6,5,5
3,1,4,2401,1.5,0.2,3,734023,0.2416496,0.3863802,0.6080649,0.657981,-560.5527,-1843.97,-2132.689,-3066.288,8.967042,0.6312873,0.7063718,0.3212566,7,9,8,7
4,1,4,2401,1.5,0.2,3,154512,0.1303078,0.2306902,0.2906674,0.3964188,-350.2333,-1380.014,-1571.2,-2241.119,9.155239,0.6095567,0.6755447,0.3887756,8,9,9,8
1,1,4,2401,0.5,0.2,5,637681,0.1593116,0.1549231,0.1556999,0.1656443,-1497.63,-1164.548,-1166.815,-1251.452,4.971072,0.07009363,0.09491014,0.05476809,2,2,2,2
2,1,4,2401,0.5,0.2,5,302950,0.6392907,0.7263429,0.7519303,0.7999749,-2617.502,-2901.734,-2854.472,-3145.837,7.071036,0.1634462,0.233501,0.1311066,5,5,5,5
3,1,4,2401,0.5,0.2,5,72101,0.439576,0.4832772,0.4926354,0.5746602,-2184.474,-2367.466,-2341.58,-2685.052,14.74197,0.4783218,0.7295771,0.5162768,15,15,15,16
4,1,4,2401,0.5,0.2,5,650197,0.2971038,0.3256739,0.3237243,0.3886777,-1857.159,-1991.418,-1959.606,-2242.455,9.070914,0.2390242,0.3470726,0.2097564,8,8,8,8
1,1,4,2401,1.5,0.2,5,137142,0.07799209,0.09836288,0.1003527,0.1602667,-169.1792,-527.7547,-449.9498,-1330.776,5.087858,0.2585609,0.283926,0.1446996,2,2,2,2
2,1,4,2401,1.5,0.2,5,652,0.2987703,0.4298076,0.5798455,0.8031511,-653.4993,-1772.615,-1748.217,-3203.485,7.067072,0.7918487,0.8151934,0.3661246,5,6,6,5
3,1,4,2401,1.5,0.2,5,658082,0.1788815,0.2740293,0.287982,0.4442012,-459.837,-1434.209,-1244.89,-2470.962,8.254153,1.097367,1.341686,0.563813,7,8,9,7
4,1,4,2401,1.5,0.2,5,941007,0.1270088,0.188137,0.2098007,0.3658621,-337.8663,-1182.381,-1085.891,-2217.037,9.703225,1.162901,1.203943,0.6085477,8,9,9,8
1,1,4,2401,0.5,0.2,10,695162,0.1534365,0.1479371,0.1434234,0.1622014,-1418.036,-1108.712,-1067.956,-1226.782,5.245787,0.1011436,0.1181147,0.09318495,2,2,2,2
