"Smooth","Range","Laplace","MC","Exact","Vecchia-5","Vecchia-10","Vecchia-20","LR-5","LR-10","LR-20"
0.35,0.09,-930.268444593557,NA,NA,-932.096724449734,-931.441118454169,-930.327864875926,-970.974822989678,-960.178906653938,-952.26865713869
0.35,0.13,-931.711096704295,NA,NA,-934.071371825688,-932.759047824023,-932.51045606023,-964.287308683759,-967.758662943872,-960.706896998599
0.35,0.17,-934.262049691296,NA,NA,-934.838600804089,-933.960147735185,-934.893598618288,-960.773010168431,-969.995944293015,-945.207353135528
0.35,0.21,-937.038737333389,NA,NA,-934.572367307383,-939.649924923658,-937.659880265629,-957.905348628479,-952.940973062704,-950.102418868364
0.35,0.25,-939.799040056954,NA,NA,-943.230689524305,-940.958386278032,-939.263836790101,-960.850753778008,-957.647081051948,-949.589539083365
0.35,0.29,-942.464221333441,NA,NA,-944.902570491354,-942.843009886289,-941.250030205253,-954.158864038096,-961.783629768636,-949.118305530702
0.35,0.33,-945.009248282199,NA,NA,-945.872440706902,-944.344140312817,-944.707106288589,-970.706360723014,-961.096993498868,-942.638578233007
0.35,0.37,-947.42943898268,NA,NA,-948.505812611709,-945.760174392691,-946.69775617064,-957.737590129628,-962.62248856961,-965.555967520527
0.35,0.41,-949.728315861487,NA,NA,-948.004884953387,-952.085445031504,-949.854609937531,-973.173859417611,-960.878088201733,-960.066198056458
0.35,0.45,-951.912639568242,NA,NA,-955.666106308917,-948.034227556956,-951.983979353404,-963.80366235748,-959.199244590879,-960.663317793427
0.35,0.49,-953.990234936424,NA,NA,-952.558820630975,-953.366851280203,-953.91502207507,-977.890048237471,-974.542787667593,-953.174399814281
0.35,0.53,-955.969008916892,NA,NA,-948.268715242417,-954.884011911677,-955.832943112272,-972.929057736861,-966.725958147607,-962.424558352856
0.35,0.57,-957.856512485645,NA,NA,-957.440828109353,-957.476665129121,-958.074147499801,-973.799864041929,-980.485170618544,-967.391003918125
0.35,0.61,-959.659761168762,NA,NA,-957.709825224882,-960.036141824219,-960.392590949896,-959.325280352185,-973.320002434007,-966.699364532799
0.35,0.65,-961.385180935925,NA,NA,-959.046254358159,-961.76383844668,-960.261242248695,-976.123939153178,-970.018652525551,-976.595298532935
0.35,0.69,-963.038614508865,NA,NA,-960.236079792276,-963.605329927497,-960.698047010275,-973.095152809335,-966.740437681317,-968.560687757598
0.35,0.73,-964.62535625062,NA,NA,-960.412535393676,-962.549616243911,-964.611717135206,-982.429236937928,-956.691275232841,-975.690426631102
0.4,0.01,-968.285462687715,NA,NA,-968.347892174267,-968.288903908003,-968.286228624009,-969.864889884322,-969.72409849507,-969.71408669645
0.4,0.05,-933.297084836511,NA,NA,-936.622470850227,-935.116471117313,-934.006017463348,-965.291096881171,-964.368026435038,-956.18797097441
0.4,0.09,-930.579875822972,NA,NA,-935.195645117953,-932.135388810142,-930.214004039955,-957.941530274239,-959.1598537164,-956.500447865798
0.4,0.13,-933.288069418954,NA,NA,-938.866518676727,-935.124434189351,-932.173085722252,-967.516164937919,-962.149043684543,-960.455874628787
0.4,0.17,-936.905858584391,NA,NA,-939.923328778668,-938.465672230884,-937.103486744068,-957.636241617959,-956.370896493592,-946.497430312737
0.4,0.21,-940.607221639344,NA,NA,-942.731406499155,-942.767089115665,-940.590442952832,-967.212950635912,-969.156136811985,-955.341730183216
0.4,0.25,-944.178514376481,NA,NA,-945.555600383627,-945.773749159393,-942.891027166873,-968.992166382011,-958.027562340545,-950.654062567497
0.4,0.29,-947.561004000519,NA,NA,-947.896073338778,-946.63894916111,-947.405605584173,-968.546973440502,-957.37348500531,-950.333215530234
0.4,0.33,-950.745188034645,NA,NA,-948.824882312082,-951.640258279726,-952.631181097742,-957.704056099298,-970.724051583711,-943.722078296639
0.4,0.37,-953.738757338066,NA,NA,-952.771110881097,-952.21030863327,-953.559128782007,-971.051214660549,-952.52336946154,-969.497596092215
0.4,0.41,-956.555191068052,NA,NA,-959.702600114576,-957.163700762189,-957.570528354172,-957.06512085317,-968.284378650547,-951.007278985896
0.4,0.45,-959.209324766434,NA,NA,-958.889519682495,-962.099333010649,-959.282522831844,-966.298052461375,-973.70600100541,-957.915173641711
0.4,0.49,-961.715581972505,NA,NA,-965.503830499062,-964.041415128123,-961.648236920749,-966.788305968187,-970.125897028636,-953.748739293652
0.4,0.53,-964.087305132559,NA,NA,-961.669521538979,-965.108120788987,-963.894573817552,-970.092815716097,-978.621398878326,-968.688477376093
0.4,0.57,-966.336554911848,NA,NA,-962.075265811401,-969.704829198292,-966.567933916463,-974.724950435585,-969.483337596228,-971.146114599112
0.4,0.61,-968.4741213847,NA,NA,-962.034961019378,-967.037080491415,-968.14142118405,-972.21805729914,-975.412277800633,-968.607067867519
0.4,0.65,-970.509609801463,NA,NA,-973.414899822801,-974.006126460346,-971.952765103438,-975.145127132726,-973.657020907861,-974.333452013539
0.4,0.69,-972.451560303015,NA,NA,-970.052856170317,-973.402312871274,-971.508173388219,-971.886018594852,-967.487543823219,-975.995528573142
0.4,0.73,-974.307570073868,NA,NA,-970.015787031138,-970.960050548617,-973.471660179135,-960.67139187892,-980.589865324259,-974.737361664231
0.45,0.01,-968.012193483904,NA,NA,-968.107080915256,-968.017430929428,-968.013376402445,-969.858219015447,-969.732209737026,-969.690235007422
0.45,0.05,-932.364409907169,NA,NA,-936.065648992789,-933.752609935091,-932.956333305578,-958.819081435773,-962.736575865787,-957.207430918638
0.45,0.09,-931.3451974493,NA,NA,-934.872608482823,-932.048548547221,-931.397329303977,-954.341347907127,-965.220536623636,-946.645456369666
0.45,0.13,-935.379261877585,NA,NA,-939.982616502221,-935.687197259044,-936.057447625887,-962.982339138764,-961.860297994595,-936.035153033701
0.45,0.17,-940.093993847612,NA,NA,-943.971347140024,-939.436144995198,-940.589192336779,-958.523706979685,-952.835294157167,-944.785437689598
0.45,0.21,-944.722270151523,NA,NA,-946.510882683017,-944.296931809511,-944.130110614547,-962.743559523984,-951.695152806436,-946.561998892352
0.45,0.25,-949.086471458439,NA,NA,-950.106884747133,-949.066472780747,-950.800144699716,-953.383143834442,-960.363837544614,-951.522613692223
0.45,0.29,-953.154422898175,NA,NA,-955.296136273731,-954.491641383268,-951.976645083988,-957.703731708628,-969.229312182953,-955.455324896815
0.45,0.33,-956.93694002746,NA,NA,-959.209606400534,-955.403327583329,-957.306013165999,-963.983527108236,-961.898489697149,-958.116610135003
0.45,0.37,-960.457431639109,NA,NA,-961.258016577387,-958.787909518165,-962.200052534609,-966.825133388464,-957.285928209994,-965.958295126699
0.45,0.41,-963.741644945075,NA,NA,-966.037778753645,-960.50502264226,-964.43484450184,-957.861110101039,-966.744687155012,-960.310881531656
0.45,0.45,-966.814080836377,NA,NA,-968.007036115736,-964.857195432914,-965.437772591905,-961.983175969725,-974.373330728703,-958.33788431502
0.45,0.49,-969.696859700626,NA,NA,-969.413031601004,-967.633440814999,-968.430857636578,-978.016866713348,-980.178739420426,-969.260516266565
0.45,0.53,-972.409511973723,NA,NA,-974.701100770778,-970.931851992275,-971.566934123887,-969.63458325473,-974.151966969804,-970.999325633948
0.45,0.57,-974.969126077779,NA,NA,-971.947749352033,-975.737216532659,-976.397197806505,-981.969111210045,-974.063379398756,-971.657628572056
0.45,0.61,-977.390611189467,NA,NA,-976.141380499811,-972.966336158486,-978.380902421216,-966.712713587298,-978.952738022402,-980.029669854578
0.45,0.65,-979.686980048731,NA,NA,-973.960657283936,-978.621532695866,-978.800039777074,-990.07178321458,-978.669986467837,-987.762435561906
0.45,0.69,-981.869613985373,NA,NA,-981.898505961344,-979.998085697451,-985.834368959064,-988.046330114975,-996.248001251841,-982.703001674619
0.45,0.73,-983.948497418799,NA,NA,-977.922030634312,-987.36208470715,-983.685388380341,-972.285389016728,-966.157365081522,-985.940342440435
0.5,0.01,-967.723580977585,NA,NA,-967.815142424316,-967.728572676577,-967.724951100068,-969.849905931078,-969.70205281873,-969.717430698162
0.5,0.05,-931.749501755245,NA,NA,-935.912440977846,-933.027313709957,-931.929117282925,-965.764057580189,-963.217212673269,-965.822683386647
0.5,0.09,-932.494713586908,NA,NA,-934.634895721908,-933.919099659808,-932.404261432097,-962.89459600879,-957.119944511495,-942.3467954608
0.5,0.13,-937.886723887163,NA,NA,-943.128161746223,-938.062552688278,-938.511794149188,-962.978907220537,-949.853559224406,-950.237087226099
0.5,0.17,-943.693700747785,NA,NA,-942.890438426321,-946.160692281852,-944.888266410637,-974.157707270387,-959.880120440641,-941.210354168669
0.5,0.21,-949.217514058078,NA,NA,-951.676164813412,-951.234132191458,-951.21817554518,-953.180225335303,-965.289026704116,-941.38433655196
0.5,0.25,-954.326959279356,NA,NA,-953.772172333979,-953.661239210591,-954.334301464032,-958.434032137922,-964.851765726495,-957.518446614942
0.5,0.29,-959.023711974325,NA,NA,-959.934778546926,-960.463540098476,-957.323724215059,-964.358821962751,-952.543589842776,-964.987689768332
0.5,0.33,-963.343607853887,NA,NA,-963.540215049407,-963.920540298519,-964.306421680491,-969.941669748079,-974.665257843059,-958.681146849252
0.5,0.37,-967.328718332684,NA,NA,-968.811114256144,-966.052673223632,-966.792401443934,-975.857245250702,-971.212528323078,-964.968006992414
0.5,0.41,-971.018874869788,NA,NA,-978.763247434563,-970.863328331908,-974.174988388894,-970.645704234732,-966.626938420851,-970.499415789863
0.5,0.45,-974.449341744838,NA,NA,-966.198389143791,-972.372271020759,-972.766157015741,-980.49723461142,-985.51288233926,-970.623771316342
0.5,0.49,-977.650567635625,NA,NA,-977.781245010108,-976.991322261229,-976.814245246965,-981.827435371995,-1003.54592068989,-979.267437961415
0.5,0.53,-980.648610678452,NA,NA,-986.37912698183,-978.307273043745,-980.88624036644,-981.489446846576,-960.18714624235,-972.51891180232
0.5,0.57,-983.46573551705,NA,NA,-985.611791903729,-980.13896607118,-984.294381755951,-979.891627594871,-985.838101147405,-979.549964212792
0.5,0.61,-986.121001551115,NA,NA,-985.296704523591,-990.890586988227,-987.309936530679,-976.153825332188,-986.050176266758,-978.897313756401
0.5,0.65,-988.630783615612,NA,NA,-984.338697640773,-989.17832623489,-989.454147079125,-983.794587012915,-990.324879096033,-986.453485210441
0.5,0.69,-991.009212940173,NA,NA,-991.97086216859,-987.087709784921,-991.691543698541,-987.395048556864,-990.731295412721,-992.798038435252
0.5,0.73,-993.268543294077,NA,NA,-985.410315687687,-990.601316099747,-993.338371842371,-1001.18282632814,-995.67014576632,-981.407881136994
0.55,0.01,-967.420161120625,NA,NA,-967.512488062248,-967.426512137834,-967.42098056804,-969.913639530105,-969.846801588629,-969.787938059311
0.55,0.05,-931.41012721772,NA,NA,-932.46716343611,-931.490647280274,-931.88687087838,-963.136941416747,-961.200536727774,-961.73858260686
0.55,0.09,-933.968925593837,NA,NA,-934.879944561656,-935.950147938722,-933.508069875798,-965.865292668913,-960.808590863872,-957.006000372959
0.55,0.13,-940.721290219229,NA,NA,-947.227348365556,-943.650532387513,-941.91478064263,-960.181618969311,-966.778833204478,-952.908122183228
0.55,0.17,-947.584735094597,NA,NA,-951.971890815149,-949.844804848033,-947.466222906035,-963.628421995054,-954.970246496332,-949.272049042745
0.55,0.21,-953.946197377247,NA,NA,-955.281159208301,-953.29906035488,-954.286308924944,-956.478021009494,-959.101146978454,-948.029964002113
