Mod,Domain,Dimen,Sample,C_Smoothness,C_Range,Neighbors,Seed_off,MSE_Laplace,MSE_VL,MSE_VL_z,MSE_LowRank,LS_Laplace,LS_VL,LS_VL_z,LS_LowRank,Time_Laplace,Time_VL,Time_VL_z,Time_LowRank,Iter_Laplace,Iter_VL,Iter_VL_z,Iter_LowRank
1,1,2,2500,0.5,0.05,1,732414,0.07424519,0.08150053,0.09106262,0.09112603,-285.8324,-412.6673,-552.0883,-554.611,5.887783,0.1750617,0.1083078,0.08600593,2,2,2,2
2,1,2,2500,0.5,0.05,1,334913,0.4974986,0.6110737,0.7553702,0.7556858,-2214.418,-2689.178,-3199.267,-3199.666,7.629364,0.1317875,0.1929104,0.111455,5,4,4,4
3,1,2,2500,0.5,0.05,1,164896,0.2871523,0.3466208,0.4524168,0.4471084,-1666.211,-2008.545,-2435.834,-2430.831,22.26807,0.4349921,0.6938114,0.4275751,12,13,14,14
4,1,2,2500,0.5,0.05,1,425043,0.2639112,0.3222886,0.3783861,0.3788342,-1681.012,-2023.284,-2304.931,-2301.763,14.95252,0.3650579,0.594666,0.3429105,8,8,8,8
1,1,2,2500,1.5,0.05,1,49108,0.02785575,0.05624503,0.09007276,0.09011594,1640.477,168.4466,-538.4776,-547.5427,7.403017,0.1078095,0.1456463,0.08888531,2,2,2,2
2,1,2,2500,1.5,0.05,1,820405,0.2441869,0.3766846,0.7539591,0.7142199,915.2308,-1131.017,-3197.08,-3124.621,9.832603,0.2646859,0.2810163,0.195559,5,5,4,5
3,1,2,2500,1.5,0.05,1,524055,0.09667478,0.2012434,0.437225,0.4210396,1185.978,-852.7475,-2377.585,-2362.346,13.33246,0.4248347,0.6421065,0.3353429,8,8,8,8
4,1,2,2500,1.5,0.05,1,551185,0.07095378,0.1509877,0.4293314,0.4297911,1204.286,-640.1636,-2465.65,-2463.567,14.63502,0.4566939,0.6638243,0.3864484,8,8,8,8
1,1,2,2500,0.5,0.05,3,320913,0.08001684,0.08253236,0.08506137,0.09441295,-392.7375,-434.5624,-463.4409,-598.5812,5.609698,0.08009815,0.1352074,0.08445883,2,2,2,2
2,1,2,2500,0.5,0.05,3,81304,0.5727401,0.6502998,0.7573357,0.854718,-2287.186,-2561.941,-2765.4,-3359.202,10.3979,0.289149,0.3958888,0.3188634,5,5,5,5
