"seed","m","method","Range","Smoothness"
748562,5,"LR",0.302382594168163,0.378296683676303
209710,5,"LR",0.0820188825463347,0.0772208900310702
640911,5,"LR",0.000380128957869465,1.51626488771317
743337,5,"LR",0.00977337494096154,12.4182207597033
637493,5,"LR",0.000380128957869465,1.51626488771317
399657,5,"LR",0.0470070709820676,0.881009722033917
784527,5,"LR",0.000380128957869465,1.51626488771317
650095,5,"LR",0.262455149456305,0.246778825136522
976480,5,"LR",56.0021803612742,4.85218571776042e-19
83672,5,"LR",0.290925895850622,0.0579460339309912
174013,5,"LR",0.000380128957869465,1.51626488771317
258013,5,"LR",0.100190846789648,0.0871220914849981
159022,5,"LR",0.0384175413149697,1.6501905375907
793959,5,"LR",0.0185166726958888,35.5283493482924
444376,5,"LR",0.0303017880310698,0.428770218175732
170998,5,"LR",0.0176620685122103,4.36945201702005
191345,5,"LR",0.000380128957869465,1.51626488771317
228477,5,"LR",0.140978901247983,0.379769444213515
892829,5,"LR",0.0211053229726667,5.18177182166605
349407,5,"LR",0.000380128957869465,1.51626488771317
708972,5,"LR",0.0387833535611892,0.67285392968802
633628,5,"LR",0.468150992272939,0.194930608245454
170779,5,"LR",0.000380128957869465,1.51626488771317
875759,5,"LR",0.0719307571775198,0.791212979963684
352756,5,"LR",0.000380128957869465,1.51626488771317
28265,5,"LR",0.32759354723717,0.184929739875923
330725,5,"LR",0.0138312657946295,0.917228930150118
668775,5,"LR",0.0591960258884653,0.390518786096779
403202,5,"LR",0.0483634361666636,0.683485214033605
748562,10,"LR",0.263706793940057,0.247303225603282
209710,10,"LR",0.270892774111981,0.214149717430273
640911,10,"LR",0.0121922955377633,3.34255470710267
307809,10,"LR",0.0810697395081984,0.600078703883236
981282,10,"LR",0.0657563433870627,0.603851673802767
743337,10,"LR",0.0963236246089308,0.443144019854269
10137,10,"LR",0.000380128957869465,1.51626488771317
399657,10,"LR",0.0417050052830858,1.43371089990611
6680,10,"LR",0.0178796776005501,8.63664833321463
784527,10,"LR",0.0369333953810769,3.01727477644055
650095,10,"LR",0.000380128957869465,1.51626488771317
976480,10,"LR",0.0770697927321141,0.338929297234352
83672,10,"LR",0.080394579376853,0.365071055914563
226190,10,"LR",0.424878913982966,0.305983392054559
84235,10,"LR",0.136689622919537,0.185947640977394
258013,10,"LR",0.02085077444759,1.6757704051733
159022,10,"LR",0.0488846879328639,1.19930187293105
170951,10,"LR",0.0342611203682868,1.30457771314156
793959,10,"LR",0.0640565350507436,0.915308575985904
170998,10,"LR",0.0335204709910378,1.89672829012029
145933,10,"LR",0.161182980913976,0.706003385042183
228477,10,"LR",0.0760244650845633,0.720058882060027
892829,10,"LR",0.0606484233715898,0.821016326011985
349407,10,"LR",0.0194573094814129,0.664057662936824
708972,10,"LR",0.0699885042681511,0.728138677695624
633628,10,"LR",0.177529759009499,0.275242518316814
170779,10,"LR",0.000380128957869465,1.51626488771317
875759,10,"LR",0.0683710366231402,0.521287371083729
352756,10,"LR",0.000380128957869465,1.51626488771317
62033,10,"LR",0.0171948820491128,2.69662535520936
28265,10,"LR",0.19938550229707,0.305195843897951
330725,10,"LR",0.0420257885475775,0.476163457632002
668775,10,"LR",0.054378043792339,0.465397642906867
403202,10,"LR",0.0453964402385174,1.10277260274249
73346,10,"LR",0.0600004838431243,0.768769681951389
748562,20,"LR",0.0948531263347345,0.49872123610171
209710,20,"LR",0.229780569721255,0.177834171728197
640911,20,"LR",0.00758786524087455,7.4086675420207
307809,20,"LR",0.186364610261535,0.308976294326332
981282,20,"LR",0.0399179666545553,1.19628591618916
743337,20,"LR",0.0604497812377497,0.984408359077189
214390,20,"LR",0.0804807885762739,0.436197120096505
10137,20,"LR",0.0335187818224169,0.912242313445397
350099,20,"LR",0.134483777313647,0.492223417511237
399657,20,"LR",0.0769869896056538,0.613207282641784
6680,20,"LR",0.0306068202691588,2.4149490750467
650095,20,"LR",0.113219747535603,0.448741437696188
976480,20,"LR",0.0202707123165563,2.60624419247883
83672,20,"LR",0.490373264002118,0.251656823614569
174013,20,"LR",0.0137844241373291,4.28111529585571
226190,20,"LR",0.273666435859906,0.356986001690275
84235,20,"LR",0.139319986188737,0.210115002025299
258013,20,"LR",0.029088967601618,1.05790122629427
159022,20,"LR",0.0672092369986733,0.27798984702894
170951,20,"LR",0.054338402990086,0.779849903865276
793959,20,"LR",0.0834745222302122,0.241332964857452
982148,20,"LR",0.346862669477601,0.307517960769888
232590,20,"LR",0.0152915413572699,2.67928296455771
352570,20,"LR",0.0392936295947909,1.72068730957676
444376,20,"LR",0.00388745724347613,0.757675564602974
170998,20,"LR",0.0447040999999663,1.23560899433488
145933,20,"LR",0.418281248561787,0.209670984913864
228477,20,"LR",0.127114861256044,0.688969080398098
892829,20,"LR",0.089137040243957,0.51579997831113
349407,20,"LR",0.175699007491147,0.373709292034203
708972,20,"LR",0.059700232857278,1.05329290442634
633628,20,"LR",0.338079700863592,0.115528032474786
875759,20,"LR",0.0641231440520504,0.573884582728836
62033,20,"LR",0.015758833809453,2.8246430843843
28265,20,"LR",0.0968319856911636,0.417400113507929
330725,20,"LR",3.90615308678607,0.0744729133646671
668775,20,"LR",0.0482488589334456,0.39815079199419
403202,20,"LR",0.0468901483989339,1.38788146377766
748562,40,"LR",0.0985156180580339,0.41094698988794
209710,40,"LR",0.0779233890299711,0.442269009852923
307809,40,"LR",0.0751644910466714,0.556209882975551
981282,40,"LR",0.071834527937114,0.571427554061732
743337,40,"LR",0.0801390826613845,0.535632063819058
637493,40,"LR",0.0321784786817438,1.47719512944458
214390,40,"LR",0.0412712375548465,0.977871814388653
10137,40,"LR",0.0284441028712804,1.13215188706444
716511,40,"LR",0.00294771834425037,77.7656368773301
350099,40,"LR",0.0535979802379076,0.789960348522967
399657,40,"LR",0.113129246125792,0.320672401820543
6680,40,"LR",0.0529583827371535,0.770467915969448
784527,40,"LR",0.0282401093110359,3.546814817174
650095,40,"LR",0.124574916326461,0.277866507947015
976480,40,"LR",0.0250830999907123,2.17839267527194
83672,40,"LR",0.0431265489930737,0.944306739471228
174013,40,"LR",0.0270506517762621,1.9721332729838
226190,40,"LR",0.128953514433669,0.562834922615664
84235,40,"LR",0.103862273560759,0.374994858366774
258013,40,"LR",0.0557705736596219,0.84084531506676
159022,40,"LR",0.0147893073607889,3.04029581553755
170951,40,"LR",0.0524853361894704,0.791446093157981
793959,40,"LR",0.0597445709983639,0.5083538135539
982148,40,"LR",0.219035892742518,0.310939420231065
232590,40,"LR",0.0324080600532129,1.79580959908352
352570,40,"LR",0.0571163214079351,0.779570246548178
444376,40,"LR",0.0205986265039627,1.81675651108872
170998,40,"LR",0.0555587354902793,0.76735908415348
145933,40,"LR",0.519883949962612,0.144441423751758
228477,40,"LR",0.121714675622567,0.60157266055351
349407,40,"LR",0.0771851588093801,0.79133760129894
708972,40,"LR",0.064340374047999,0.646956575886304
639586,40,"LR",0.0360951560588897,1.40601104660795
633628,40,"LR",0.642279452473503,0.0579092932243692
170779,40,"LR",0.0123317908397294,2.06566639530466
875759,40,"LR",0.0748063250868284,0.541589752736397
118587,40,"LR",0.0362150679350518,1.48952540430512
844320,40,"LR",0.0262517984553522,1.07325850480288
62033,40,"LR",0.0168133195149408,1.83713163143965
28265,40,"LR",0.0577654243470224,0.990023255092565
330725,40,"LR",0.0392625076981707,1.53719892692567
668775,40,"LR",0.0283146618692087,0.926812486036299
73346,40,"LR",0.00838480873884892,15.2507257414064
577480,5,"LR",0.0205652443838913,0.540547709484049
850390,5,"LR",0.000380128957869465,1.51626488771317
199432,5,"LR",0.094841389705446,1.09478342795553
775509,5,"LR",0.0133137212795367,1.35908910075702
16598,5,"LR",0.0499160025498403,0.680625817476307
553229,5,"LR",0.000380128957869465,1.51626488771317
391059,5,"LR",0.075886273457069,1.24200028480552
268157,5,"LR",0.0560594280610468,0.578933854408116
815151,5,"LR",0.0150763281156095,8.05304471801814
562213,5,"LR",0.000380128957869465,1.51626488771317
563596,5,"LR",0.117309805724713,0.337408832986205
993006,5,"LR",0.0379201621854473,5.18067264553361
761664,5,"LR",0.772964407532633,0.230784504710951
162484,5,"LR",0.0166654082106098,5.07565567350133
336389,5,"LR",0.0412500429087676,1.77365409415579
70387,5,"LR",0.0412687730047502,0.880539873693805
772144,5,"LR",0.000380128957869465,1.51626488771317
572765,5,"LR",0.0737057074885872,0.939726240792767
480861,5,"LR",0.332111490163682,0.300695697674541
724273,5,"LR",0.235763661001547,0.505991528874288
948383,5,"LR",0.0162293876875621,0.866749959044593
139611,5,"LR",0.0271114237069542,1.56272209653521
312930,5,"LR",0.0378988836867908,0.96313148943525
102571,5,"LR",0.000380128957869465,1.51626488771317
488836,5,"LR",0.0360448515983742,1.55066524628652
684887,5,"LR",0.138782240853379,0.670171705958359
974602,5,"LR",0.000380128957869465,1.51626488771317
733611,5,"LR",0.00759048814813809,0.977923122634676
443300,5,"LR",0.0715561577706711,2.15576121323493
494890,5,"LR",0.0485860219774968,1.3830813723981
975640,5,"LR",0.0277270638742516,2.34244997189743
928863,5,"LR",0.0299733372149675,1.10528407842274
73464,5,"LR",0.00146631914704291,0.743601504404595
383222,5,"LR",0.000380128957869465,1.51626488771317
56210,5,"LR",0.127950635221014,0.184418887033543
650154,5,"LR",0.152418430284753,0.238091587254104
111905,5,"LR",0.0680153099657306,1.92880299147868
283456,5,"LR",0.000380128957869465,1.51626488771317
518835,5,"LR",0.000380128957869465,1.51626488771317
436138,5,"LR",0.0428612593096863,4.31190189449279
284868,5,"LR",0.55382541615752,0.27362278869417
165350,5,"LR",0.0177465253911389,12.1862596695103
664804,5,"LR",0.000380128957869465,1.51626488771317
707200,5,"LR",0.045471681738174,1.25068553503749
792615,5,"LR",0.000380128957869465,1.51626488771317
222707,5,"LR",0.0709179340814413,0.291809751989892
850390,10,"LR",0.0479722399464502,0.771669375170376
199432,10,"LR",0.105167805809352,0.348459858784863
775509,10,"LR",0.0294026674731817,1.7254967420056
406613,10,"LR",0.106360546916713,0.245220860683882
755813,10,"LR",0.023165112172797,0.879117791674335
16598,10,"LR",0.0473590274238861,0.267198116943849
553229,10,"LR",0.0124824155747559,1.91426240415
676192,10,"LR",0.130232118310986,0.972433966088614
391059,10,"LR",0.0383317495487614,2.86959705805043
998840,10,"LR",0.0544160488077173,0.803323119664344
268157,10,"LR",0.0754864404816153,0.264148586773256
815151,10,"LR",0.0258253793816723,2.0786991127548
714716,10,"LR",0.0109885118005513,8.50948212101904
562213,10,"LR",0.0824332802445621,0.0634854632311913
563596,10,"LR",0.0782659214253817,0.669150199587793
262438,10,"LR",0.100615337149117,0.486741908111929
37223,10,"LR",0.0359869638640057,0.93943614412898
761664,10,"LR",0.013894721590504,3.68209025572752
746539,10,"LR",0.850052247965787,0.0833929584856803
336389,10,"LR",0.0301963330164314,1.5958677673702
772144,10,"LR",0.05627188282897,0.965112498819754
572765,10,"LR",0.0601865918571886,0.893548655343667
114137,10,"LR",0.16304658700066,0.464890114628454
480861,10,"LR",0.164286478225046,0.679929915261205
341303,10,"LR",0.0297394960415702,1.04581949136985
724273,10,"LR",0.081892800149477,0.67295714587964
948383,10,"LR",0.0589012892569201,0.153944824661374
380576,10,"LR",0.0947052167163767,0.406178505696633
139611,10,"LR",0.0244586790666126,2.21804152466653
102571,10,"LR",0.000380128957869465,1.51626488771317
488836,10,"LR",0.0476908765290275,0.870715066701068
360557,10,"LR",0.302627633519562,0.311743365634171
587647,20,"LR",0.0392187545926461,2.32501112919823
577480,20,"LR",0.121945212437518,0.282121239484666
850390,20,"LR",0.0535100809296321,0.609864734928036
199432,20,"LR",0.108531054427253,0.427016221342127
775509,20,"LR",0.00507331784223037,34.9393474987818
406613,20,"LR",0.0641313425593092,0.317584587189129
755813,20,"LR",0.0342906428845346,1.03815958040087
16598,20,"LR",0.00820024496692729,6.90016565627537
