Mod,Domain,Dimen,Sample,C_Smoothness,C_Range,Neighbors,Seed_off,MSE_Laplace,MSE_VL,MSE_VL_z,MSE_LowRank,LS_Laplace,LS_VL,LS_VL_z,LS_LowRank,Time_Laplace,Time_VL,Time_VL_z,Time_LowRank,Iter_Laplace,Iter_VL,Iter_VL_z,Iter_LowRank
4,1,1,2500,1.5,0.05,10,900287,0.008013954,0.008013952,0.339693,0.1286637,13550.75,13550.75,13492.58,-518.5939,13.41676,3.148701,3.563684,2.283696,7,7,7,7
1,1,1,2500,0.5,0.05,20,212194,0.01880339,0.01880339,0.01880417,0.07223924,2139.623,2139.623,2138.99,-634.7533,7.706403,0.2479613,0.2517247,0.2731767,2,2,2,2
2,1,1,2500,0.5,0.05,20,159974,0.1571198,0.1571198,0.2820487,0.4083871,1719.291,1719.291,1688.464,-2269.558,10.22364,0.681061,0.6824961,0.6134841,5,5,5,5
3,1,1,2500,0.5,0.05,20,217617,0.05116025,0.05116025,0.06088831,0.2332435,1828.055,1828.055,1812.48,-1554.349,17.71639,1.037739,1.291431,0.7450528,7,7,8,6
4,1,1,2500,0.5,0.05,20,55438,0.04731849,0.04731849,0.05012608,0.1752889,1857.335,1857.335,1845.049,-1204.8,15.88832,0.6172521,0.8679602,0.6366768,7,6,7,6
1,1,1,2500,1.5,0.05,20,810455,0.002720978,0.002720978,0.04240104,0.02158894,13495.58,13495.58,13406.64,2235.744,7.208587,2.999645,3.374782,2.255046,2,2,2,2
2,1,1,2500,1.5,0.05,20,302777,0.03634367,0.03634367,0.7563403,0.05171466,13412.94,13412.94,13385.14,1550.146,14.39452,7.500209,8.324053,4.898271,5,5,5,5
3,1,1,2500,1.5,0.05,20,146291,0.0172121,0.0172121,0.2330129,0.03233502,13521.75,13521.75,13477.03,1984.623,14.82395,10.26217,11.00796,6.933009,7,7,7,7
4,1,1,2500,1.5,0.05,20,849103,0.005365909,0.005365909,0.1064011,0.03526575,13497,13497,13439.29,1855.613,21.00685,10.22254,9.818459,7.318944,7,7,6,7
1,1,1,2500,0.5,0.05,40,921739,0.02052868,0.02052868,0.0205283,0.05848314,2089.899,2089.899,2089.913,-141.2536,6.990681,0.5471492,0.5334713,0.5298119,2,2,2,2
2,1,1,2500,0.5,0.05,40,980616,0.1313003,0.1313003,0.1726365,0.2092205,1709.76,1709.76,1695.984,-1147.208,12.43479,1.71977,1.968918,1.713449,5,5,6,5
3,1,1,2500,0.5,0.05,40,581039,0.06971843,0.06971843,0.07312465,0.1408732,1804.074,1804.074,1800.575,-1209.712,18.87907,2.150174,3.502477,3.041219,7,7,8,7
4,1,1,2500,0.5,0.05,40,738884,0.04607991,0.04607991,0.04603863,0.1316229,1857.252,1857.252,1857.158,-1127.932,15.35148,2.813421,2.229631,2.797504,8,8,8,8
1,1,1,2500,1.5,0.05,40,626749,0.002206398,0.002206398,0.004506291,0.003888525,13476.95,13476.95,13435.33,4069.903,8.356858,10.7443,10.77963,7.770396,2,2,2,2
2,1,1,2500,1.5,0.05,40,391590,0.05434313,0.05434313,0.2423804,0.05553475,13405.79,13405.79,13390.67,4192.743,12.72944,24.93251,19.94283,18.22866,5,5,4,5
3,1,1,2500,1.5,0.05,40,829022,0.02102983,0.02102983,0.1913963,0.02610155,13473.44,13473.44,13441.48,4152.459,18.22769,36.09189,37.66905,25.58906,7,7,7,7
4,1,1,2500,1.5,0.05,40,426396,0.004449666,0.004449666,0.04822349,0.006824665,13445.51,13445.51,13383.54,4074.453,24.11941,36.0594,43.17794,25.1512,8,7,8,7
1,1,1,2500,0.5,0.05,60,53716,0.02016942,0.02016942,0.02016943,0.05197454,2112.31,2112.31,2112.31,-4.482191,6.07295,1.519758,1.485674,1.642355,2,2,2,2
2,1,1,2500,0.5,0.05,60,989952,0.1533708,0.1533708,0.1504809,0.1756943,1774.649,1774.649,1775.33,-605.6166,7.620831,2.728974,3.176028,2.782566,5,5,6,5
3,1,1,2500,0.5,0.05,60,57835,0.07199578,0.07199578,0.07132905,0.1037468,1765.313,1765.313,1766.936,-421.3094,17.53327,4.73171,5.715438,4.51656,8,7,9,7
4,1,1,2500,0.5,0.05,60,58894,0.04982944,0.04982944,0.04984442,0.0922324,1759.781,1759.781,1759.796,-670.0439,20.99923,5.929549,5.287248,5.280348,8,8,8,8
1,1,1,2500,1.5,0.05,60,321900,0.002088941,0.002088941,0.00214651,0.002426793,13521.91,13521.91,13519.44,5824.814,6.68408,20.28299,20.788,13.93399,2,2,2,2
2,1,1,2500,1.5,0.05,60,456813,0.0403944,0.04039439,0.3415068,0.04034421,13430.32,13430.33,13406.9,5310.388,13.82384,49.64722,51.08417,37.64765,5,5,5,5
3,1,1,2500,1.5,0.05,60,549311,0.01163517,0.01163517,0.05288351,0.01180285,13489.73,13489.73,13465.72,5532.643,13.20804,69.81421,65.56658,52.00979,8,7,7,7
4,1,1,2500,1.5,0.05,60,531184,0.006609019,0.006609019,0.01601507,0.006577335,13479.13,13479.13,13447.16,5630.172,13.58891,69.81783,81.75105,51.32015,7,7,8,7
1,1,1,2500,0.5,0.05,1,772591,0.01931774,0.01931774,0.08308544,0.08208371,2083.408,2083.408,-442.4021,-420.2719,8.003811,0.09036899,0.1554608,0.0852232,2,2,2,2
2,1,1,2500,0.5,0.05,1,917306,0.132525,0.132525,0.9972974,0.750815,1693.827,1693.827,-3574.318,-3344.594,11.24682,0.3482111,0.3910995,0.2732363,5,5,4,5
3,1,1,2500,0.5,0.05,1,559726,0.05935262,0.05935262,0.3970347,0.3733004,1729.883,1729.883,-2338.632,-2233.581,12.81539,0.3109627,0.5626895,0.3677945,8,8,10,10
4,1,1,2500,0.5,0.05,1,777524,0.04437092,0.04437092,0.377027,0.3802481,1854.677,1854.677,-2290.131,-2252.786,14.89415,0.3957543,0.5486457,0.4025817,9,8,7,7
1,1,1,2500,1.5,0.05,1,115100,0.002786065,0.02457607,0.0942609,0.09117803,13535.16,9113.384,-596.0647,-494.7326,8.078764,0.1793261,0.1399872,0.103281,2,2,2,2
2,1,1,2500,1.5,0.05,1,5904,0.05848834,0.5525294,1.521516,1.495673,13496.06,8727.928,-4386.996,-4181.811,16.95163,0.142102,0.1944997,0.1207507,6,4,4,4
3,1,1,2500,1.5,0.05,1,203447,0.01560413,0.2268669,0.5441315,0.5076863,13446.52,8876.081,-2608.521,-2333.121,20.12891,0.289464,0.4424505,0.2455647,8,6,7,7
4,1,1,2500,1.5,0.05,1,442073,0.007290691,0.07005388,0.3526722,0.3330115,13477.6,9040.086,-2087.845,-2117.837,18.58398,0.4755654,0.7668912,0.5767787,7,6,7,7
1,1,1,2500,0.5,0.05,3,113265,0.02271435,0.02271435,0.03054493,0.08906026,2028.9,2028.9,1903.964,-532.3354,5.470536,0.09063578,0.1272488,0.0571394,2,2,2,2
2,1,1,2500,0.5,0.05,3,229042,0.1310406,0.1310406,0.3722722,0.5017559,1750.844,1750.844,1710.405,-2677.301,8.619015,0.1620395,0.2471292,0.1538942,5,5,4,5
3,1,1,2500,0.5,0.05,3,514484,0.0628907,0.0628907,0.1636252,0.31034,1831.912,1831.912,1714.24,-2058.049,12.64346,0.3325579,0.3261006,0.2124979,7,6,6,7
4,1,1,2500,0.5,0.05,3,734480,0.04669119,0.04669119,0.1212058,0.2890058,1821.682,1821.682,1694.356,-2046.76,19.20844,0.3861265,0.4352436,0.3089929,8,8,7,8
1,1,1,2500,1.5,0.05,3,221774,0.002304794,0.002304985,0.4146704,0.0786624,13588.67,13584.77,8671.153,-258.5137,8.651289,0.1535156,0.1802597,0.1038194,2,2,2,2
2,1,1,2500,1.5,0.05,3,811106,0.04533114,0.04497423,1.665494,0.416409,13468.41,13465.49,8675.537,-2331.055,10.59366,0.4024229,0.3162487,0.3552473,5,5,3,5
3,1,1,2500,1.5,0.05,3,531122,0.02420845,0.02409293,1.04285,0.6399337,13471.08,13468.47,8476.257,-2429.533,13.99284,0.7181311,0.6078496,0.4771645,8,8,5,7
4,1,1,2500,1.5,0.05,3,578378,0.008644781,0.008663777,1.722114,0.4398196,13502.12,13494.75,8105.003,-2303.766,14.96907,0.6812775,0.6118245,0.7226806,8,8,5,8
1,1,1,2500,0.5,0.05,5,665064,0.01818523,0.01818523,0.0222302,0.08137015,2182.056,2182.056,2085.286,-410.1332,6.722915,0.1011777,0.1902761,0.1334298,2,2,2,2
2,1,1,2500,0.5,0.05,5,10170,0.1360742,0.1360742,0.4504985,0.5314021,1661.251,1661.251,1605.293,-2783.763,14.58829,0.307513,0.4153535,0.2479603,5,5,4,5
3,1,1,2500,0.5,0.05,5,622867,0.0663944,0.0663944,0.2158864,0.4319416,1802.069,1802.069,1713.075,-2372.455,18.08536,0.4442124,0.4699771,0.3423634,8,7,6,7
4,1,1,2500,0.5,0.05,5,895714,0.04551552,0.04551552,0.1141583,0.3665086,1894.691,1894.691,1762.888,-2316.334,16.82322,0.3409543,0.4702826,0.437588,7,7,7,8
1,1,1,2500,1.5,0.05,5,115810,0.001882564,0.001882912,0.4270935,0.06591365,13537.94,13537.86,13349.04,179.078,10.00227,0.35028,0.3942204,0.2454598,2,2,2,2
2,1,1,2500,1.5,0.05,5,221379,0.04255482,0.0425505,0.9984924,0.6529258,13432.01,13431.82,13300.5,-1977.087,14.38454,0.7995772,0.8071539,0.5451074,5,5,4,5
3,1,1,2500,1.5,0.05,5,34348,0.009796643,0.009797212,0.4888491,0.2500916,13498.42,13498.41,13349.83,-1868.685,17.44142,1.072856,0.607141,1.024511,8,8,4,8
4,1,1,2500,1.5,0.05,5,246822,0.006293429,0.006295285,0.846762,0.2371347,13521.86,13521.53,13368.19,-1012.143,16.29989,0.862957,0.8461635,0.9002748,7,6,5,7
1,1,1,2500,0.5,0.05,10,929094,0.01973819,0.01973819,0.01985779,0.08186575,2121.777,2121.777,2116.706,-629.8384,8.332541,0.1711473,0.2025428,0.1241982,2,2,2,2
2,1,1,2500,0.5,0.05,10,786598,0.1357945,0.1357945,0.5096956,0.9381051,1726.258,1726.258,1673.699,-3450.815,15.031,0.5006049,0.5772514,0.3383799,6,6,5,5
3,1,1,2500,0.5,0.05,10,264141,0.08275072,0.08275072,0.2681506,0.5457717,1808.757,1808.757,1738.399,-2704.437,18.23039,0.93016,0.7498159,0.8944409,8,8,7,8
4,1,1,2500,0.5,0.05,10,841437,0.04680958,0.04680958,0.06362039,0.3237376,1815.617,1815.617,1756.483,-2043.124,15.21264,0.5882101,1.122742,0.6804161,8,7,8,8
1,1,1,2500,1.5,0.05,10,734315,0.002061105,0.002061105,0.2158196,0.06356983,13554.48,13554.48,13455.94,383.9462,7.529616,0.8116124,1.018135,0.7182019,2,2,2,2
2,1,1,2500,1.5,0.05,10,199877,0.03815434,0.03815435,1.033107,0.2220125,13477.64,13477.64,13446.13,-665.3598,13.52527,1.840253,2.545984,2.098485,5,5,5,5
3,1,1,2500,1.5,0.05,10,307462,0.01071435,0.01071434,0.3725741,0.1084911,13497.61,13497.61,13442.33,-29.39675,13.03974,2.69564,2.48758,1.818946,7,6,5,6
4,1,1,2500,1.5,0.05,10,83644,0.006539817,0.006539817,0.3606022,0.09669044,13513.94,13513.94,13448.49,-268.8368,10.0946,2.627428,2.690077,2.046243,7,7,6,7
1,1,1,2500,0.5,0.05,20,857117,0.0199724,0.0199724,0.01990272,0.07298311,2132.777,2132.777,2133.944,-340.7037,6.965882,0.2204785,0.2528677,0.2326808,2,2,2,2
2,1,1,2500,0.5,0.05,20,812938,0.1301455,0.1301455,0.175299,0.3013656,1648.575,1648.575,1630.038,-2202.55,14.00973,0.8149908,0.788296,0.6602893,5,5,5,5
3,1,1,2500,0.5,0.05,20,814587,0.05778472,0.05778472,0.06433344,0.1905911,1776.919,1776.919,1760.563,-1494,16.39342,0.659297,0.9075463,0.5740321,7,7,8,6
