Mod,Domain,Dimen,Sample,C_Smoothness,C_Range,Neighbors,Seed_off,MSE_Laplace,MSE_VL,MSE_VL_z,MSE_LowRank,LS_Laplace,LS_VL,LS_VL_z,LS_LowRank,Time_Laplace,Time_VL,Time_VL_z,Time_LowRank,Iter_Laplace,Iter_VL,Iter_VL_z,Iter_LowRank
4,10,1,8000,0.5,0.05,10,387838,0.08370646,0.08370646,0.09071313,0.3836173,1883.341,1883.341,5870.965,-7361.168,87.63602,0.953388,1.615613,1.227645,8,8,9,8
2,10,1,16000,0.5,0.05,10,91684,0.1738566,0.1738566,0.3177471,0.7318931,7350.829,7350.829,8770.734,-20082.27,324.3511,1.176403,1.679919,1.190866,5,5,5,5
3,10,1,16000,0.5,0.05,10,939001,0.08551112,0.08551112,0.1346451,0.4736266,8376.93,8376.93,14856.89,-16081.7,564.5781,2.69889,3.847047,3.551346,10,10,10,12
4,10,1,16000,0.5,0.05,10,392965,0.05714896,0.05714896,0.06858275,0.3947618,8624.449,8624.449,16437.69,-15274.14,548.4029,2.063915,3.642111,2.139927,9,9,10,9
2,10,1,250,0.5,0.05,10,229778,0.7009027,0.7009027,0.7011145,0.7494729,-290.3183,-290.3183,-263.579,-318.1393,0.08378553,0.04810357,0.05856729,0.03818583,4,4,4,4
3,10,1,250,0.5,0.05,10,400611,0.3794117,0.3794117,0.3793778,0.4060319,-212.7681,-212.7681,-97.20417,-227.6987,0.1231267,0.06620836,0.08918333,0.06214881,7,7,7,7
4,10,1,250,0.5,0.05,10,274929,0.3477923,0.3477923,0.3477939,0.3871419,-221.1271,-221.1271,-92.3455,-231.2243,0.1424754,0.07976079,0.100672,0.0782938,9,8,8,8
2,10,1,500,0.5,0.05,10,72460,0.6784933,0.6784933,0.6773747,0.7569509,-510.4571,-510.4571,-457.9463,-639.3864,0.3431373,0.05865407,0.09012628,0.05274177,4,4,5,4
3,10,1,500,0.5,0.05,10,481704,0.3304102,0.3304102,0.3308066,0.439213,-378.117,-378.117,-175.3887,-481.536,0.4111605,0.1218836,0.1265862,0.1047738,8,8,8,8
4,10,1,500,0.5,0.05,10,255214,0.3103211,0.3103211,0.3104852,0.3908403,-375.4937,-375.4937,-116.295,-464.4111,0.3349812,0.1056609,0.1610901,0.09534669,7,7,7,7
2,10,1,1000,0.5,0.05,10,629691,0.5627811,0.5627811,0.5658182,0.8099177,-798.5267,-798.5267,-697.6088,-1293.493,0.8171306,0.1150162,0.1579957,0.09561419,5,5,5,4
3,10,1,1000,0.5,0.05,10,297689,0.3038189,0.3038189,0.3031915,0.4691501,-594.2673,-594.2673,-167.0875,-992.6523,1.486349,0.2731864,0.3557892,0.2712836,11,11,11,14
4,10,1,1000,0.5,0.05,10,496712,0.2280941,0.2280941,0.2281326,0.3858793,-544.9476,-544.9476,-24.99739,-922.9872,1.093626,0.1647983,0.2040703,0.1471517,8,8,8,8
2,10,1,2000,0.5,0.05,10,28669,0.5049162,0.5049162,0.5515511,0.8600666,-1069.909,-1069.909,-877.1109,-2688.596,3.739856,0.2145321,0.236069,0.1788647,5,5,5,5
3,10,1,2000,0.5,0.05,10,765852,0.2392546,0.2392546,0.2453755,0.4741189,-712.8354,-712.8354,121.3193,-2011.101,6.525089,0.3849876,0.5292723,0.4751372,11,11,11,11
4,10,1,2000,0.5,0.05,10,935169,0.1587745,0.1587745,0.1588056,0.3882633,-630.3933,-630.3933,399.822,-1841.361,4.41578,0.2659392,0.4060888,0.2741721,8,8,8,8
2,10,1,4000,0.5,0.05,10,497780,0.3440536,0.3440536,0.4322716,0.8754123,-767.964,-767.964,-412.321,-5345.388,15.25002,0.3159697,0.4115272,0.3253276,5,5,5,5
3,10,1,4000,0.5,0.05,10,822467,0.1530007,0.1530007,0.1745148,0.4597457,-269.1489,-269.1489,1456.154,-3959.919,33.64879,0.9860818,1.31636,0.9848871,15,15,15,15
4,10,1,4000,0.5,0.05,10,956102,0.1204354,0.1204354,0.1230724,0.4092726,-281.4383,-281.4383,1747.366,-3907.899,19.90723,0.5662279,0.7860103,0.5113773,8,8,9,8
2,10,1,8000,0.5,0.05,10,736720,0.2524718,0.2524718,0.3840012,0.7872682,977.2629,977.2629,1662.449,-10451.77,67.13843,0.6603239,1.056826,0.6848538,5,5,5,5
3,10,1,8000,0.5,0.05,10,9326,0.1223703,0.1223703,0.1641743,0.5096528,1740.387,1740.387,4985.123,-8280.579,160.5731,2.720469,4.473482,2.119521,17,17,17,17
4,10,1,8000,0.5,0.05,10,608658,0.08296692,0.08296692,0.08829868,0.3887706,1803.602,1803.602,5840.927,-7528.838,92.9286,1.089074,1.596525,1.135528,9,9,9,9
2,10,1,16000,0.5,0.05,10,947259,0.1807029,0.1807029,0.3521237,0.8405266,7421.882,7421.882,8822.211,-21227.78,359.1112,1.229799,1.729768,1.263152,6,5,5,5
3,10,1,16000,0.5,0.05,10,894264,0.0810193,0.0810193,0.1165935,0.4126581,8289.37,8289.37,15114.82,-15335.19,522.3227,2.396578,3.579946,2.731239,10,9,10,10
4,10,1,16000,0.5,0.05,10,216928,0.05621823,0.05621823,0.0668648,0.3627398,8745.967,8745.967,16597.27,-13996.09,449.2475,2.241225,3.062172,2.402358,8,8,9,8
